title,description,price,category,timestamp,query_id,filter_category,filter_price_min,filter_price_max,filter_storage_type,cart,bought,brand,package_size,unit_of_measure,net_weight_oz,dimensions_in,storage_type,ingredients,allergens,nutrition_score,country_of_origin
Cedar House Steamable Pepperoni Pizza - 10 oz (Well Reviewed),Steamable pepperoni pizza in a 10 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Generally receives positive feedback.,8.30,Frozen,2025-04-05T02:32:44Z,q_000001,Frozen,2.45,15.45,Frozen,false,false,Cedar House,10 oz,oz,10.14,"3.3 x 4.0 x 4.1""",Frozen,"Prepared ingredients, Spices, Salt",Wheat,36,United States
Sunny Basket Ready To Heat Waffles - 24 oz (Limited Feedback),Ready To Heat waffles in a 24 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Recently added to the online catalog.,5.53,Frozen,2026-04-19T03:54:03Z,q_000001,Frozen,2.45,15.45,Frozen,false,false,Sunny Basket,24 oz,oz,22.47,"5.1 x 7.3 x 4.2""",Frozen,"Salt, Prepared ingredients, Spices",Soy,60,United States
Blue Cart Ready To Heat Mixed Vegetables - 24 oz (Standard Listing),Ready To Heat mixed vegetables in a 24 oz package for online grocery orders. Listed under frozen and intended for frozen storage. Ships as part of regular inventory.,9.80,Frozen,2024-08-21T14:16:47Z,q_000001,Frozen,2.45,15.45,Frozen,false,false,Blue Cart,24 oz,oz,25.86,"2.0 x 11.0 x 7.5""",Frozen,"Prepared ingredients, Spices, Salt",Soy,51,United States
Market Pantry Co. Soft Sourdough Loaf - 6 ct (Shopper Favorite),Soft sourdough loaf in a 6 ct package for online grocery orders. Listed under bakery and intended for ambient storage. Generally receives positive feedback.,4.29,Bakery,2025-10-29T03:33:41Z,q_000002,Bakery,1.50,8.93,Ambient,false,false,Market Pantry Co.,6 ct,ct,14.68,"2.3 x 6.5 x 3.8""",Ambient,"Salt, Yeast, Wheat flour, Sugar, Water",Wheat,65,Thailand
FreshField Sliced Cinnamon Raisin Bread - 6 ct,Sliced cinnamon raisin bread in a 6 ct package for online grocery orders. Listed under bakery and intended for ambient storage. Available for standard online ordering.,4.21,Bakery,2024-08-09T04:26:59Z,q_000002,Bakery,1.50,8.93,Ambient,false,false,FreshField,6 ct,ct,14.57,"2.0 x 4.8 x 2.8""",Ambient,"Wheat flour, Water, Yeast, Sugar, Salt",Wheat,58,Vietnam
Harvest Lane Family Pack Blueberry Muffins - 8 ct (Customer Favorite),Family Pack blueberry muffins in a 8 ct package for online grocery orders. Listed under bakery and intended for ambient storage. Consistently praised in customer feedback.,5.05,Bakery,2026-06-19T19:55:38Z,q_000002,Bakery,1.50,8.93,Ambient,true,true,Harvest Lane,8 ct,ct,18.02,"4.1 x 9.0 x 4.0""",Ambient,"Wheat flour, Yeast, Salt, Sugar, Water",Wheat,44,Vietnam
Harvest Lane Family Pack Plain Bagels - 6 ct (Highly Rated),Family Pack plain bagels in a 6 ct package for online grocery orders. Listed under bakery and intended for ambient storage. A dependable pick according to reviews.,3.59,Bakery,2025-05-26T00:20:20Z,q_000002,Bakery,1.50,8.93,Ambient,false,false,Harvest Lane,6 ct,ct,13.07,"2.4 x 4.5 x 2.3""",Ambient,"Salt, Wheat flour, Yeast, Sugar, Water",Wheat,44,Peru
Harvest Lane Family Pack Pita Pockets - 8 ct (Shopper Favorite),Family Pack pita pockets in a 8 ct package for online grocery orders. Listed under bakery and intended for ambient storage. Often recommended by repeat customers.,6.75,Bakery,2025-12-01T04:22:02Z,q_000002,Bakery,1.50,8.93,Ambient,false,false,Harvest Lane,8 ct,ct,18.25,"3.1 x 6.7 x 6.8""",Ambient,"Wheat flour, Sugar, Yeast, Salt, Water",Wheat,36,United States
Valley Select Soft Flour Tortillas - 6 ct (Highly Rated),Soft flour tortillas in a 6 ct package for online grocery orders. Listed under bakery and intended for ambient storage. Generally receives positive feedback.,2.51,Bakery,2025-01-05T07:40:00Z,q_000002,Bakery,1.50,8.93,Ambient,true,false,Valley Select,6 ct,ct,13.10,"2.4 x 8.2 x 2.4""",Ambient,"Salt, Yeast, Water, Sugar, Wheat flour",Wheat,40,Canada
Valley Select Fresh Baked Cinnamon Raisin Bread - 6 ct (Well Reviewed),Fresh Baked cinnamon raisin bread in a 6 ct package for online grocery orders. Listed under bakery and intended for ambient storage. Well liked by regular shoppers.,4.74,Bakery,2025-06-04T14:20:40Z,q_000002,Bakery,1.50,8.93,Ambient,false,false,Valley Select,6 ct,ct,14.34,"1.9 x 7.2 x 5.7""",Ambient,"Sugar, Wheat flour, Salt, Yeast, Water",Wheat,65,United States
Oak & Grain Lightly Salted Potato Chips - 6 oz (Rarely Reordered),Lightly Salted potato chips in a 6 oz package for online grocery orders. Listed under snacks and intended for ambient storage. Marked for limited future availability.,2.63,Snacks,2025-05-21T19:38:07Z,q_000003,Snacks,1.00,12.19,Ambient,false,false,Oak & Grain,6 oz,oz,6.24,"2.7 x 3.2 x 2.4""",Ambient,"Grains, Seasoning, Oil, Salt",Wheat,50,United States
Golden Acre Lightly Salted Tortilla Chips - 12 oz (Recently Added),Lightly Salted tortilla chips in a 12 oz package for online grocery orders. Listed under snacks and intended for ambient storage. Limited customer feedback so far.,3.04,Snacks,2026-06-29T07:18:52Z,q_000003,Snacks,1.00,12.19,Ambient,false,false,Golden Acre,12 oz,oz,12.83,"1.3 x 6.2 x 4.5""",Ambient,"Oil, Salt, Seasoning, Grains",Soy,43,United States
