price,net_weight_oz,nutrition_score,etapa
8.3,10.14,36.0,original
5.53,22.47,60.0,original
9.8,25.86,51.0,original
4.29,14.68,65.0,original
4.21,14.57,58.0,original
5.05,18.02,44.0,original
3.59,13.07,44.0,original
6.75,18.25,36.0,original
2.51,13.1,40.0,original
4.74,14.34,65.0,original
2.63,6.24,50.0,original
3.04,12.83,43.0,original
9.44,7.83,37.0,original
4.66,20.16,18.0,original
2.08,17.02,99.0,original
7.9,33.47,79.0,original
8.04,12.34,81.0,original
13.87,31.65,61.0,original
12.66,15.5,71.0,original
2.97,13.9,49.0,original
3.56,12.86,62.0,original
2.53,131.7,78.0,original
8.99,25.85,56.0,original
5.74,15.01,64.0,original
5.89,14.96,40.0,original
4.5,21.47,63.0,original
3.47,19.08,39.0,original
10.78,24.78,29.0,original
13.69,15.64,24.0,original
13.4,9.84,58.0,original
10.08,24.26,38.0,original
5.08,17.09,56.0,original
4.58,12.19,35.0,original
5.94,11.94,40.0,original
4.24,29.72,33.0,original
14.08,16.18,61.0,original
12.8,31.18,49.0,original
6.7,30.64,54.0,original
23.98,53.25,0.0,original
10.13,39.18,0.0,original
17.9,73.92,0.0,original
24.5,72.86,0.0,original
22.86,74.05,0.0,original
8.94,34.72,62.0,original
7.36,23.89,67.0,original
4.12,25.48,71.0,original
3.0,24.54,61.0,original
2.61,16.41,68.0,original
6.17,33.18,54.0,original
9.15,133.62,76.0,original
5.14,15.83,74.0,original
3.39,16.28,83.0,original
6.85,11.91,87.0,original
2.14,45.82,91.0,original
2.28,45.08,83.0,original
4.83,15.76,97.0,original
3.99,16.03,89.0,original
7.88,25.4,26.0,original
9.45,31.81,42.0,original
9.37,15.65,65.0,original
9.33,10.13,30.0,original
8.33,15.3,28.0,original
11.5,9.86,69.0,original
8.02,16.81,63.0,original
5.13,11.97,0.0,original
5.01,3.19,0.0,original
5.68,30.93,85.0,original
3.94,46.11,80.0,original
2.84,29.76,87.0,original
8.18,16.77,92.0,original
4.72,44.95,87.0,original
7.82,11.74,82.0,original
4.12,47.57,94.0,original
6.18,30.32,72.0,original
5.67,16.14,34.0,original
3.56,15.64,63.0,original
6.25,12.66,47.0,original
7.36,19.73,56.0,original
7.47,19.33,65.0,original
2.43,12.07,57.0,original
4.32,19.37,66.0,original
4.14,21.57,35.0,original
2.46,15.21,91.0,original
8.66,48.36,84.0,original
8.64,16.19,89.0,original
11.9,13.93,73.0,original
14.1,15.08,41.0,original
5.95,33.99,37.0,original
28.89,11.05,72.0,original
9.67,15.66,85.0,original
26.5,7.44,75.0,original
1.92,11.13,60.0,original
11.7,11.38,30.0,original
10.56,11.5,68.0,original
14.8,16.2,39.0,original
5.55,30.2,44.0,original
11.27,13.92,67.0,original
8.69,14.75,59.0,original
4.14,15.58,39.0,original
13.87,15.56,41.0,original
1.58,15.01,31.0,original
12.22,12.05,47.0,original
8.24,31.37,35.0,original
7.28,33.87,40.0,original
6.49,154.8,77.0,original
2.34,148.88,66.0,original
5.3,11.78,96.0,original
2.11,33.13,92.0,original
6.95,11.64,87.0,original
7.43,17.16,92.0,original
6.69,12.07,89.0,original
5.22,11.24,85.0,original
3.97,12.81,82.0,original
2.63,16.45,94.0,original
10.16,10.12,0.0,original
8.24,10.28,0.0,original
9.91,37.94,0.0,original
20.5,51.91,0.0,original
19.71,9.63,0.0,original
6.64,39.89,0.0,original
24.82,9.42,0.0,original
6.41,21.44,38.0,original
7.45,14.28,34.0,original
4.94,20.5,48.0,original
6.02,11.3,56.0,original
4.93,17.36,47.0,original
1.42,48.36,80.0,original
8.38,30.86,94.0,original
6.0,29.88,92.0,original
3.87,45.13,78.0,original
1.31,50.1,94.0,original
5.69,46.07,80.0,original
7.33,11.06,96.0,original
2.87,16.66,81.0,original
20.23,15.83,58.0,original
13.06,31.52,61.0,original
6.38,17.16,71.0,original
6.76,15.23,63.0,original
6.11,24.57,45.0,original
5.03,31.43,56.0,original
23.1,36.03,0.0,original
10.49,76.81,0.0,original
24.46,9.74,0.0,original
21.71,67.71,0.0,original
12.82,68.17,0.0,original
20.34,72.53,0.0,original
6.36,15.82,45.0,original
8.32,44.83,43.0,original
8.68,23.79,58.0,original
11.79,48.56,47.0,original
5.29,14.94,86.0,original
5.03,50.9,98.0,original
3.89,16.63,78.0,original
7.97,11.45,94.0,original
3.4,29.61,84.0,original
7.86,15.45,83.0,original
8.19,15.29,91.0,original
3.88,46.45,80.0,original
7.48,12.78,32.0,original
4.96,12.3,39.0,original
9.13,11.83,54.0,original
9.71,7.99,45.0,original
5.64,7.49,36.0,original
7.68,7.65,41.0,original
6.97,7.62,35.0,original
11.39,16.25,0.0,original
13.92,2.81,0.0,original
13.69,16.43,0.0,original
10.55,15.85,0.0,original
8.05,8.61,0.0,original
2.69,16.22,0.0,original
13.07,16.47,0.0,original
6.77,15.67,0.0,original
3.5,15.94,0.0,original
12.22,17.83,0.0,original
14.65,14.28,71.0,original
2.21,33.58,39.0,original
10.46,15.58,74.0,original
2.5,15.66,73.0,original
8.92,16.03,66.0,original
6.16,15.64,72.0,original
3.75,31.93,36.0,original
2.22,13.86,34.0,original
7.18,15.46,87.0,original
1.61,51.51,81.0,original
5.52,15.18,98.0,original
3.82,17.02,92.0,original
7.26,50.9,89.0,original
5.54,16.8,79.0,original
2.37,48.02,94.0,original
5.23,31.28,72.0,original
3.67,23.77,59.0,original
4.43,22.25,58.0,original
5.33,24.47,62.0,original
9.05,14.96,71.0,original
7.65,31.74,61.0,original
6.82,134.61,67.0,original
2.97,143.42,53.0,original
5.19,15.24,50.0,original
8.73,37.72,0.0,original
17.99,54.25,0.0,original
9.31,10.32,0.0,original
7.54,36.39,0.0,original
3.22,30.38,66.0,original
13.12,12.33,69.0,original
8.99,30.36,45.0,original
3.7,16.16,74.0,original
10.58,15.18,50.0,original
27.29,15.53,72.0,original
7.28,11.8,90.0,original
7.57,143.24,42.0,original
4.43,32.57,81.0,original
4.59,23.17,26.0,original
2.66,16.55,31.0,original
5.35,30.37,67.0,original
12.42,9.61,25.0,original
8.24,32.96,32.0,original
5.47,16.57,65.0,original
9.86,16.11,31.0,original
12.77,15.77,32.0,original
8.12,14.85,71.0,original
6.69,12.85,64.0,original
8.92,32.02,50.0,original
5.54,12.43,30.0,original
6.15,134.98,59.0,original
6.42,16.95,67.0,original
6.78,23.74,78.0,original
5.67,23.01,74.0,original
3.93,15.34,78.0,original
1.75,12.16,83.0,original
5.21,50.82,90.0,original
13.51,15.32,54.0,original
3.27,15.17,64.0,original
14.09,16.97,70.0,original
12.99,14.92,41.0,original
7.26,11.38,45.0,original
6.86,32.08,58.0,original
7.58,11.39,50.0,original
6.63,14.94,65.0,original
13.04,16.11,61.0,original
13.02,13.92,39.0,original
5.85,16.12,49.0,original
7.96,135.82,81.0,original
4.8,15.57,52.0,original
8.37,139.85,77.0,original
6.95,23.16,59.0,original
3.65,34.92,80.0,original
