palabra,frecuencia
for,21480
oz,13210
in,11479
a,11038
online,11017
and,10380
intended,10000
package,10000
grocery,10000
orders,10000
listed,10000
under,10000
storage,10000
ambient,5524
12,4066
feedback,3524
lb,3446
listing,3062
fl,3042
refrigerated,2911
ct,2880
frozen,2822
the,2531
by,2387
32,2306
16,2228
1,2220
to,2165
pantry,2109
limited,2077
of,2065
regular,1999
8,1584
customer,1502
reordered,1498
free,1488
customers,1469
family,1468
rated,1460
shoppers,1430
market,1395
low,1356
2,1350
fresh,1326
3,1202
produce,1148
24,1144
size,1108
green,1082
6,1078
beverages,1076
part,1055
as,1055
pick,1048
standard,1018
one,1010
repurchased,1010
items,1010
its,1010
aisle,1010
dairy,1003
rarely,1001
favorite,1000
catalog,991
highly,988
added,986
recently,986
creamy,982
grain,960
daily,947
well,927
bakery,917
care,846
snacks,825
cheese,788
lightly,748
freshfield,726
mixed,716
meat,709
table,703
corner,698
co,697
golden,683
acre,683
purely,679
good,679
15,678
pack,674
oak,674
north,664
foods,664
star,664
harvest,661
lane,661
cart,660
blue,660
basket,654
sunny,654
riverbend,647
household,642
fork,640
ready,622
valley,617
select,617
personal,602
cedar,597
house,597
classic,590
virgin,582
extra,582
mini,576
seafood,562
organic,560
64,554
dependable,552
according,552
reviews,552
soon,550
discontinuing,550
so,540
far,540
sodium,536
gluten,534
lineup,530
stocked,530
baby,527
ships,525
inventory,525
new,522
unrated,517
current,515
stock,515
less,513
is,513
still,513
on,513
this,513
received,512
from,512
available,512
ordering,512
salted,512
clearance,510
shopper,507
past,501
positive,500
receives,500
marked,500
future,500
availability,500
generally,500
frequently,497
returning,497
most,497
premium,496
20,492
addition,486
newer,486
chicken,478
reviewed,477
top,472
recommended,471
repeat,471
often,471
seller,470
best,470
praised,469
popular,469
choice,469
consistently,469
quality,468
consistent,468
gal,464
washed,456
10,454
butter,452
soft,450
liked,450
18,448
zero,442
sugar,442
unsweetened,440
caffeine,440
yogurt,438
milk,438
beef,432
rice,430
cultured,422
pulp,420
ripe,418
small,414
batch,414
sweetened,410
surface,410
crispy,408
water,406
juice,406
spinach,404
sliced,386
vanilla,386
heat,378
steamable,366
cream,360
whole,356
fat,354
baked,348
50,344
artisan,340
bread,324
gentle,318
party,314
sea,310
salt,310
soup,308
tomato,308
half,304
chips,302
1.5,298
olive,294
oil,294
soap,292
lean,292
multi,290
crunchy,286
spaghetti,286
oats,286
long,286
rolled,286
lemon,284
taco,284
scent,284
shells,284
beans,282
black,282
boneless,280
peanut,278
seasoned,276
ground,274
turkey,274
apples,272
hydrating,266
paper,260
maple,260
bags,260
syrup,260
sauce,260
pasta,260
unscented,256
cook,244
cucumbers,242
hearts,242
potatoes,242
sweet,242
romaine,242
almond,240
cakes,238
drink,238
sports,238
bananas,236
skinless,234
mint,232
duty,232
heavy,232
salmon,230
cheddar,228
tea,228
sharp,228
cottage,228
mac,228
skin,226
sensitive,226
cups,226
wild,222
caught,222
recycled,222
peeled,220
lemonade,220
grape,218
tomatoes,218
strawberries,216
florets,214
peas,214
broccoli,214
buns,212
greek,212
brioche,212
brew,210
cold,210
coffee,210
coconut,208
mozzarella,206
slices,206
cola,204
sourced,204
vegetables,204
responsibly,204
orange,204
cranberry,202
sour,200
sparkling,198
avocados,196
pockets,194
nuggets,194
pita,194
ravioli,186
rolls,186
blueberry,186
loaf,186
muffins,186
dinner,186
sourdough,186
burritos,184
flour,184
tortillas,184
breakfast,184
salsa,184
croissants,182
provolone,182
plain,180
popcorn,180
bagels,180
pepperoni,176
pizza,176
fillets,174
waffles,174
raisin,166
cinnamon,166
chocolate,164
cookies,164
twists,162
pretzel,162
lotion,160
ice,160
mix,158
ham,158
trail,158
steak,158
wheat,158
sirloin,156
dish,154
tortilla,152
crackers,150
thighs,150
potato,150
meatballs,148
smoked,144
steaks,142
tuna,142
pork,140
chops,140
granola,138
bars,138
blend,138
hand,138
fruit,138
mouthwash,138
freezer,136
breast,134
toilet,130
towels,130
sausage,130
italian,130
sponges,130
toothpaste,130
bacon,128
softener,126
fabric,126
shampoo,124
trash,124
deodorant,122
wash,120
cotton,120
body,120
swabs,120
foil,120
aluminum,120
cleaner,120
cod,118
tissues,118
facial,118
portions,118
shrimp,116
detergent,114
laundry,114
strips,112
clam,112
fish,112
sticks,112
scallops,112
conditioner,110
4,94
crab,94
fragrance,94
tilapia,88
easy,68
grip,68
pouches,54
apple,54
banana,54
pants,48
training,48
infant,48
cereal,48
formula,46
powder,46
stage,44
puree,44
diapers,44
toddler,34
wipes,24
