query_id,bought,net_weight_oz_z,nutrition_score_z,price_relpos_z,dim_length_z,dim_width_z,dim_height_z,title_desc_tokens,title_desc_len,category_Baby,category_Bakery,category_Beverages,category_Dairy,category_Frozen,category_Household,category_Meat,category_Pantry,category_Personal Care,category_Produce,category_Seafood,category_Snacks,storage_type_Ambient,storage_type_Frozen,storage_type_Refrigerated,brand_Blue Cart,brand_Cedar House,brand_Corner Market,brand_Daily Table,brand_FreshField,brand_Golden Acre,brand_Green Fork,brand_Harvest Lane,brand_Market Pantry Co.,brand_North Star Foods,brand_Oak & Grain,brand_Purely Good,brand_Riverbend,brand_Sunny Basket,brand_Valley Select,allergens_Fish,allergens_Milk,allergens_None,allergens_Peanuts,allergens_Shellfish,allergens_Soy,allergens_Tree nuts,allergens_Wheat,country_of_origin_Canada,country_of_origin_Chile,country_of_origin_Italy,country_of_origin_Mexico,country_of_origin_New Zealand,country_of_origin_Peru,country_of_origin_Spain,country_of_origin_Thailand,country_of_origin_United States,country_of_origin_Vietnam,ingredient_Baby-safe ingredients,ingredient_Cream,ingredient_Cultures,ingredient_Filtered water,ingredient_Grains,ingredient_Household materials,ingredient_Meat,ingredient_Milk,ingredient_Natural flavors,ingredient_Oil,ingredient_Personal care formula,ingredient_Prepared ingredients,ingredient_Salt,ingredient_Seafood,ingredient_Seasoning,ingredient_Spices,ingredient_Sugar,ingredient_Water,ingredient_Wheat flour,ingredient_Whole produce,ingredient_Yeast
q_000001,0,-0.6341418915959459,-0.5725160172813971,0.02596234679362148,-0.5338628308549545,-0.8853949047790857,-0.5311766544102973,107 108 192 303 304 157 3 72 163 192 303 304 4 6 157 3 8 2 5 9 10 11 12 21 7 13 2 21 14 137 138 139 17 0 0 0 0 0 0 0 0 0 0 0 0,33,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
q_000001,0,-0.21392361217586747,0.33883070534678816,-0.8800451818792486,0.018285969984051412,-0.01716969421909842,-0.49437292819218864,100 101 103 29 198 308 47 3 31 17 103 29 198 308 4 6 47 3 8 2 5 9 10 11 12 21 7 13 2 21 14 55 56 29 24 5 63 0 0 0 0 0 0 0 0,37,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
q_000001,0,-0.09838914605793832,-0.002924315638781291,0.5165801421038395,-0.9326369647942364,0.9562949358027055,0.7201500370053882,97 98 103 29 198 83 291 47 3 64 20 103 29 198 83 291 4 6 47 3 8 2 5 9 10 11 12 21 7 13 2 21 14 135 53 54 32 33 136 0 0 0 0 0 0,39,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
q_000004,0,-0.3996648630144261,1.8197691296175893,-1.3539537968448194,-0.5031878974750096,-0.5433667915281817,0.5729351321329544,94 95 193 305 306 26 18 146 20 193 305 306 4 6 26 18 8 2 5 9 10 11 12 49 7 13 2 15 14 140 2 31 141 142 0 0 0 0 0 0 0 0 0 0 0,34,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
q_000004,0,0.16096698584691144,1.060313527427435,0.9631587120922047,-0.25778843043545135,2.5611960825954094,3.0019810625281087,104 105 193 254 255 43 18 55 56 193 254 255 4 6 43 18 8 2 5 9 10 11 12 49 7 13 2 15 14 17 130 131 20 132 133 31 0 0 0 0 0 0 0 0 0,36,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
q_000004,0,-0.5591637719913902,1.1362590876464502,1.0188968136817542,-0.9633118981741812,-0.20133867827727758,-0.3471580233197553,100 101 161 287 16 3 45 17 161 287 4 6 16 3 8 2 5 9 10 11 12 49 7 13 2 15 14 65 38 25 154 40 0 0 0 0 0 0 0 0 0 0 0 0 0,32,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
q_000005,0,0.09893963235586982,0.3768034854562959,0.21089964104188227,-0.25778843043545135,1.9560694206899638,0.057682965079437196,69 82 213 338 339 43 18 149 150 213 338 339 4 6 43 18 8 2 5 9 10 11 12 77 7 13 2 21 14 128 53 54 32 24 33 129 0 0 0 0 0 0 0 0 0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
q_000005,0,-0.4514679274684828,0.7565312865513731,-0.03704952908598002,-0.6565625643747335,-0.9906343242409023,0.46252395347862935,51 102 37 85 169 335 26 18 120 121 37 85 169 335 4 6 26 18 8 2 5 9 10 11 12 77 7 13 2 21 14 140 2 31 141 142 0 0 0 0 0 0 0 0 0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
q_000007,0,3.5087400261903263,1.0223407473179271,-1.7336169855146963,0.7851593044826707,2.113928549882689,2.3763177168202656,96 45 205 264 76 26 162 127 20 45 205 264 76 4 6 26 162 8 2 5 9 10 11 12 70 7 13 2 22 14 6 167 168 29 24 63 0 0 0 0 0 0 0 0 0,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
q_000007,0,-0.09872995569250441,0.1869395849087573,0.8144400614953309,-0.4725129640950648,1.2457033393227013,1.640243192458098,107 108 37 48 256 257 47 3 149 150 37 48 256 257 4 6 47 3 8 2 5 9 10 11 12 70 7 13 2 22 14 128 53 54 32 24 33 129 0 0 0 0 0 0 0,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
