word,id,freq_train
<PAD>,0,0
<UNK>,1,0
for,2,15081
oz,3,9296
in,4,8047
online,5,7738
a,6,7737
and,7,7268
package,8,7012
grocery,9,7012
orders,10,7012
listed,11,7012
under,12,7012
intended,13,7012
storage,14,7012
ambient,15,3850
12,16,2840
feedback,17,2493
lb,18,2464
fl,19,2154
listing,20,2140
frozen,21,2082
refrigerated,22,2023
ct,23,1926
the,24,1776
by,25,1670
1,26,1617
32,27,1598
16,28,1568
to,29,1529
pantry,30,1482
limited,31,1480
of,32,1442
regular,33,1407
8,34,1084
free,35,1070
rated,36,1051
family,37,1048
reordered,38,1032
customer,39,1032
customers,40,1012
shoppers,41,1009
market,42,1004
2,43,974
fresh,44,958
low,45,948
3,46,834
24,47,826
size,48,806
produce,49,789
pick,50,762
green,51,755
beverages,52,752
as,53,733
part,54,733
recently,55,714
added,56,714
highly,57,710
one,58,709
repurchased,59,709
items,60,709
its,61,709
aisle,62,709
catalog,63,698
standard,64,694
rarely,65,686
6,66,686
favorite,67,686
creamy,68,682
daily,69,680
dairy,70,679
grain,71,669
well,72,652
care,73,639
snacks,74,601
bakery,75,560
cheese,76,558
meat,77,538
lightly,78,528
corner,79,502
co,80,502
freshfield,81,501
table,82,496
mixed,83,493
15,84,478
pack,85,476
purely,86,474
good,87,474
golden,88,474
acre,89,474
north,90,472
star,91,472
foods,92,472
oak,93,467
harvest,94,462
lane,95,462
riverbend,96,461
blue,97,459
cart,98,459
personal,99,455
sunny,100,450
basket,101,450
fork,102,441
ready,103,436
valley,104,435
select,105,435
household,106,435
cedar,107,416
house,108,416
mini,109,410
classic,110,402
64,111,400
organic,112,398
extra,113,398
virgin,114,398
dependable,115,395
according,116,395
reviews,117,395
seafood,118,391
baby,119,387
discontinuing,120,383
soon,121,383
chicken,122,380
so,123,378
far,124,378
gluten,125,376
sodium,126,376
unrated,127,372
stocked,128,369
lineup,129,369
on,130,368
this,131,368
is,132,368
still,133,368
salted,134,366
ships,135,364
inventory,136,364
generally,137,358
receives,138,358
positive,139,358
marked,140,358
future,141,358
availability,142,358
available,143,358
ordering,144,358
shopper,145,358
clearance,146,357
less,147,355
most,148,354
current,149,352
stock,150,352
received,151,351
from,152,351
new,153,350
past,154,349
frequently,155,346
returning,156,346
10,157,344
consistent,158,341
quality,159,341
top,160,341
premium,161,340
gal,162,338
reviewed,163,335
18,164,332
best,165,331
seller,166,331
newer,167,330
addition,168,330
beef,169,328
consistently,170,326
praised,171,326
popular,172,325
choice,173,325
zero,174,318
sugar,175,318
liked,176,317
often,177,317
recommended,178,317
repeat,179,317
20,180,314
rice,181,306
caffeine,182,304
pulp,183,304
crispy,184,298
butter,185,296
washed,186,296
unsweetened,187,296
juice,188,296
milk,189,290
cultured,190,288
yogurt,191,288
steamable,192,286
ripe,193,284
sweetened,194,282
soft,195,280
surface,196,276
water,197,276
heat,198,274
spinach,199,270
small,200,266
batch,201,266
vanilla,202,250
cream,203,248
50,204,242
fat,205,236
sliced,206,236
gentle,207,234
party,208,234
chips,209,224
crunchy,210,224
tomato,211,222
soup,212,222
lean,213,220
whole,214,216
olive,215,216
oil,216,216
1.5,217,216
artisan,218,216
soap,219,212
black,220,206
beans,221,206
turkey,222,206
multi,223,204
taco,224,204
shells,225,204
seasoned,226,204
baked,227,202
long,228,202
bread,229,200
apples,230,200
spaghetti,231,200
rolled,232,200
oats,233,200
ground,234,200
boneless,235,198
sea,236,196
salt,237,196
mint,238,192
lemon,239,190
scent,240,190
unscented,241,186
hydrating,242,186
half,243,184
sweet,244,180
potatoes,245,180
sensitive,246,180
skin,247,180
peanut,248,176
maple,249,174
syrup,250,174
bags,251,172
cucumbers,252,172
almond,253,172
romaine,254,170
hearts,255,170
sharp,256,170
cheddar,257,170
cakes,258,170
paper,259,170
skinless,260,170
sports,261,166
drink,262,166
mac,263,164
cottage,264,162
peeled,265,162
cook,266,162
peas,267,160
pasta,268,160
sauce,269,160
lemonade,270,156
nuggets,271,154
tea,272,154
salmon,273,152
heavy,274,152
duty,275,152
strawberries,276,150
wild,277,150
caught,278,150
bananas,279,150
orange,280,150
greek,281,148
brioche,282,146
buns,283,146
cranberry,284,146
mozzarella,285,146
slices,286,146
avocados,287,144
breakfast,288,144
burritos,289,144
cola,290,144
vegetables,291,142
cups,292,140
broccoli,293,140
florets,294,140
coconut,295,140
cold,296,140
brew,297,140
coffee,298,140
recycled,299,138
sour,300,138
responsibly,301,138
sourced,302,138
pepperoni,303,136
pizza,304,136
grape,305,136
tomatoes,306,136
sparkling,307,136
waffles,308,134
ravioli,309,134
flour,310,132
tortillas,311,132
popcorn,312,128
fillets,313,128
provolone,314,124
salsa,315,124
chocolate,316,122
cookies,317,122
dinner,318,120
rolls,319,120
sourdough,320,120
loaf,321,120
pita,322,120
pockets,323,120
meatballs,324,120
lotion,325,120
pretzel,326,120
twists,327,120
thighs,328,118
trail,329,116
mix,330,116
toothpaste,331,114
tortilla,332,114
italian,333,112
sausage,334,112
sirloin,335,110
ice,336,110
potato,337,110
ham,338,108
steak,339,108
fruit,340,108
blend,341,108
crackers,342,108
breast,343,108
hand,344,106
dish,345,106
bacon,346,104
fabric,347,104
softener,348,104
cinnamon,349,102
raisin,350,102
plain,351,100
bagels,352,100
wheat,353,98
croissants,354,98
mouthwash,355,98
tuna,356,98
steaks,357,98
cotton,358,98
swabs,359,98
pork,360,96
chops,361,96
sponges,362,96
shampoo,363,96
granola,364,92
bars,365,92
smoked,366,90
freezer,367,90
shrimp,368,90
toilet,369,88
facial,370,88
tissues,371,88
clam,372,86
strips,373,86
fragrance,374,86
body,375,84
wash,376,84
deodorant,377,84
blueberry,378,84
muffins,379,84
trash,380,82
towels,381,82
conditioner,382,80
aluminum,383,78
foil,384,78
cod,385,78
portions,386,78
scallops,387,74
laundry,388,72
detergent,389,72
cleaner,390,72
fish,391,72
sticks,392,72
4,393,72
crab,394,66
tilapia,395,66
easy,396,50
grip,397,50
apple,398,44
banana,399,44
pouches,400,44
training,401,40
pants,402,40
infant,403,40
cereal,404,40
formula,405,38
powder,406,38
diapers,407,34
stage,408,34
puree,409,34
toddler,410,32
wipes,411,22
