variant,n_params,best_epoch,best_valid_pr_auc,best_valid_roc_auc,best_epoch_train_pr_auc,best_epoch_pr_auc_gap,final_train_pr_auc,final_valid_pr_auc,final_pr_auc_gap,excluded_features,d_model,n_heads,n_layers,dim_feedforward
base,102337,17,0.7161898376300455,0.9610068886109623,0.8642680897086358,0.14807825207859027,0.906651164796719,0.7146455140389508,0.1920056507577682,-,64,4,2,128
heads_2,102337,19,0.736721253024977,0.9627697377563377,0.9004397569644415,0.1637185039394644,0.918563730847904,0.7313807618039133,0.18718296904399068,-,64,2,2,128
heads_8,102337,19,0.724617751511832,0.9626188632799317,0.8828746153758171,0.15825686386398508,0.8899350850138819,0.710703082856677,0.1792320021572048,-,64,8,2,128
layers_1,68865,20,0.7623730360440053,0.9640482004248307,0.9339952060463097,0.1716221700023044,0.9339952060463097,0.7623730360440053,0.1716221700023044,-,64,4,1,128
layers_4,169281,19,0.7425602780370578,0.959041550036726,0.808460667487564,0.06590038945050614,0.7915492475366059,0.7032276786090957,0.0883215689275102,-,64,4,4,128
d_model_32,45569,20,0.7791550500227442,0.9648422766164414,0.9072393146428568,0.12808426462011258,0.9072393146428568,0.7791550500227442,0.12808426462011258,-,32,4,2,128
d_model_96,175489,3,0.7097891967605505,0.9559009786989061,0.7236294353463175,0.013840238585766995,0.9130017119983703,0.6743680135192887,0.23863369847908167,-,96,4,2,128
ff_64,85825,13,0.7416782135057581,0.9684434121453953,0.8579334042013312,0.11625519069557311,0.9391092473523737,0.718230423279982,0.22087882407239168,-,64,4,2,64
ff_256,135361,16,0.7323193045874424,0.9645087646159648,0.8325271456876108,0.10020784110016834,0.8786026669510116,0.7237535367428392,0.15484913020817248,-,64,4,2,256
sin_country_of_origin,101697,19,0.7632572230884273,0.966247791475592,0.9216146055392072,0.1583573824507799,0.9302349448998002,0.7470532608296632,0.18318168407013702,country_of_origin_,64,4,2,128
sin_nutrition_score,102273,19,0.7403182825421403,0.961654060707125,0.9112933443324498,0.17097506179030952,0.9133520448699126,0.7030883876705573,0.21026365719935536,nutrition_score_z,64,4,2,128
sin_ambas,101633,15,0.7354357542803047,0.9656998789033808,0.874271173894203,0.13883541961389823,0.9172545712425129,0.7257854098013461,0.19146916144116677,"country_of_origin_,nutrition_score_z",64,4,2,128
