seed,n_params,best_epoch,best_valid_pr_auc,best_valid_roc_auc,best_train_pr_auc,best_pr_auc_gap,hidden
0,76940,13,0.709695046752205,0.9661167689039764,0.7816706239088146,0.0719755771566096,0
1,76940,10,0.6994325651366176,0.9660016278561928,0.7369349132582416,0.037502348121624,0
2,76940,10,0.743895276203168,0.96924939947988,0.7707479004923081,0.0268526242891401,0
0,85825,19,0.7987789013070508,0.9715164870069284,0.8665927459089249,0.0678138446018741,64
1,85825,20,0.7882837620035981,0.9686101681456336,0.9143409557141188,0.1260571937105207,64
2,85825,20,0.7870989964193109,0.9710757747205844,0.8746333172003977,0.0875343207810868,64
0,81313,19,0.7283186428057694,0.967593750620372,0.8044899259082128,0.0761712831024433,32
1,81313,20,0.7249524220769983,0.9675341949060012,0.8198830308049326,0.0949306087279343,32
2,81313,20,0.7346526393392638,0.9681575447164156,0.8161804049196323,0.0815277655803684,32
0,94849,20,0.7934750810008872,0.9691223472892224,0.908914438835073,0.1154393578341858,128
1,94849,18,0.8063100764597901,0.9722113036745876,0.908188525638636,0.1018784491788459,128
2,94849,17,0.7936466442261161,0.97149266472118,0.9073410025206008,0.1136943582944846,128
0,112897,16,0.820050581641756,0.9706827070057372,0.9256098069766524,0.1055592253348962,256
1,112897,17,0.826697239018279,0.9748793996783992,0.9205523745032536,0.0938551354849747,256
2,112897,17,0.801851650333828,0.9736922557719412,0.9342997525441984,0.1324481022103703,256
0,148993,15,0.8266379225587682,0.9737796041530185,0.9336489401103948,0.10701101755162656,512
1,148993,13,0.8222114619561561,0.9756695054890517,0.9262568614911877,0.10404539953503156,512
2,148993,11,0.8126142397998661,0.9758203799654577,0.9143592960061291,0.10174505620626295,512
