seed,n_params,best_epoch,best_valid_pr_auc,best_valid_roc_auc,best_train_pr_auc,best_pr_auc_gap,d_model
0,13169,18,0.678882210505115,0.941035872391956,0.7425056466209716,0.0636234361158566,16
1,13169,19,0.7144902687130036,0.9616381791832926,0.7534817465959802,0.0389914778829766,16
2,13169,12,0.6935533685796784,0.956262283366089,0.6754602742571847,-0.0180930943224937,16
0,6137,6,0.6764879984199075,0.9448792011593513,0.6360066583701395,-0.040481340049768,8
1,6137,19,0.6724791601119107,0.950717646358168,0.7051274368380168,0.03264827672610615,8
2,6137,8,0.6466619197550809,0.9462886863994598,0.6669351907351648,0.020273270980083913,8
0,30305,10,0.7342567935059161,0.965203581283624,0.7242567918993525,-0.010000001606563558,32
1,30305,17,0.7039156667038544,0.9635161693764517,0.7750107132561451,0.07109504655229071,32
2,30305,12,0.6926949648999168,0.9628888491850792,0.7634382192092752,0.07074325430935846,32
0,76865,8,0.716820894178662,0.960840132610724,0.7416283558726235,0.02480746169396153,64
1,76865,4,0.7076849655998859,0.9589224386079843,0.7046530004839684,-0.003031965115917523,64
2,76865,10,0.7478955101108228,0.9670021638576222,0.7623293814112594,0.014433871300436607,64
