seed,n_params,best_epoch,best_valid_pr_auc,best_valid_roc_auc,best_train_pr_auc,best_pr_auc_gap,dim_feedforward
0,13169,18,0.678882210505115,0.941035872391956,0.7425056466209716,0.0636234361158566,64
1,13169,19,0.7144902687130036,0.9616381791832926,0.7534817465959802,0.0389914778829766,64
2,13169,12,0.6935533685796784,0.956262283366089,0.6754602742571847,-0.0180930943224937,64
0,10001,18,0.6869745835275651,0.9471780517340638,0.7699130285593122,0.08293844503174708,16
1,10001,19,0.7277955884107181,0.960320012705219,0.7406257929743697,0.012830204563651582,16
2,10001,18,0.6258928352479793,0.9557024596510035,0.7207822396890254,0.0948894044410461,16
0,11057,19,0.6706727857830873,0.9463045679232923,0.7603019966432281,0.08962921086014075,32
1,11057,19,0.7102640951732077,0.9608520437535982,0.745081431170954,0.03481733599774639,32
2,11057,14,0.6413278222051537,0.9549322057451411,0.7060712003450831,0.06474337813992936,32
0,17393,20,0.6705942936493314,0.9462291306850893,0.786889996107967,0.11629570245863552,128
1,17393,16,0.6893203263535294,0.9561233200325572,0.7031910025894819,0.013870676235952506,128
2,17393,13,0.7048685255089853,0.9568062255573423,0.7223059897751806,0.0174374642661953,128
