query_id,bought_rate,n_rows,strata,split
q_000001,0.0,3,0%,train
q_000002,0.14285714285714285,7,1-33%,test
q_000003,0.0,4,0%,valid
q_000004,0.0,3,0%,train
q_000005,0.0,2,0%,train
q_000006,0.0,2,0%,test
q_000007,0.0,2,0%,train
q_000008,0.0,4,0%,train
q_000009,0.0,5,0%,train
q_000010,0.0,6,0%,test
q_000011,0.0,2,0%,train
q_000012,0.0,3,0%,train
q_000013,0.25,8,1-33%,train
q_000014,0.0,6,0%,train
q_000015,0.42857142857142855,7,34-100%,train
q_000016,0.5,2,34-100%,train
q_000017,0.14285714285714285,7,1-33%,train
q_000018,0.0,3,0%,train
q_000019,0.3333333333333333,6,34-100%,train
q_000020,0.0,3,0%,test
q_000021,0.0,3,0%,test
q_000022,0.0,3,0%,train
q_000023,0.25,4,1-33%,train
q_000024,0.25,8,1-33%,train
q_000025,0.0,3,0%,train
q_000026,0.125,8,1-33%,train
q_000027,0.2857142857142857,7,1-33%,test
q_000028,0.2,5,1-33%,valid
q_000029,0.0,8,0%,train
q_000030,0.0,6,0%,train
q_000031,0.16666666666666666,6,1-33%,train
q_000032,0.0,4,0%,train
q_000033,0.125,8,1-33%,train
q_000034,0.0,7,0%,valid
q_000035,0.0,2,0%,test
q_000036,0.0,8,0%,train
q_000037,0.0,8,0%,train
q_000038,0.14285714285714285,7,1-33%,valid
q_000039,0.6,5,34-100%,valid
q_000040,0.0,4,0%,train
q_000041,0.0,4,0%,train
q_000042,0.0,5,0%,train
q_000043,0.5,2,34-100%,train
q_000044,0.0,2,0%,valid
q_000045,0.2,5,1-33%,train
q_000046,0.14285714285714285,7,1-33%,train
q_000047,0.25,4,1-33%,train
q_000048,0.0,3,0%,train
q_000049,0.0,2,0%,train
q_000050,0.0,3,0%,train
q_000051,0.0,6,0%,train
q_000052,0.2,5,1-33%,valid
q_000053,0.0,4,0%,valid
q_000054,0.0,6,0%,train
q_000055,0.2,5,1-33%,train
q_000056,0.0,2,0%,test
q_000057,0.3333333333333333,6,34-100%,train
q_000058,0.0,2,0%,valid
q_000059,0.5,2,34-100%,valid
q_000060,0.0,3,0%,valid
q_000061,0.16666666666666666,6,1-33%,train
q_000062,0.0,4,0%,train
q_000063,0.14285714285714285,7,1-33%,test
q_000064,0.0,2,0%,train
q_000065,0.14285714285714285,7,1-33%,valid
q_000066,0.14285714285714285,7,1-33%,train
q_000067,0.0,6,0%,train
q_000068,0.0,2,0%,test
q_000069,0.0,3,0%,train
q_000070,0.25,4,1-33%,train
q_000071,0.0,3,0%,train
q_000072,0.0,2,0%,train
q_000073,0.0,5,0%,train
q_000074,0.0,5,0%,train
q_000075,0.0,2,0%,train
q_000076,0.4,5,34-100%,valid
q_000077,0.0,8,0%,test
q_000078,0.375,8,34-100%,valid
q_000079,0.0,8,0%,train
q_000080,0.0,2,0%,train
q_000081,0.3333333333333333,6,34-100%,train
q_000082,0.0,3,0%,train
q_000083,0.5,4,34-100%,valid
q_000084,0.3333333333333333,3,34-100%,valid
q_000085,0.25,8,1-33%,train
q_000086,0.25,4,1-33%,valid
q_000087,0.5,2,34-100%,train
q_000088,0.0,7,0%,train
q_000089,0.4,5,34-100%,train
q_000090,0.0,3,0%,test
q_000091,0.14285714285714285,7,1-33%,train
q_000092,0.14285714285714285,7,1-33%,valid
q_000093,0.6666666666666666,3,34-100%,test
q_000094,0.125,8,1-33%,train
q_000095,0.0,2,0%,train
q_000096,0.3333333333333333,3,34-100%,train
q_000097,0.2857142857142857,7,1-33%,train
q_000098,0.0,4,0%,train
q_000099,0.5,2,34-100%,train
q_000100,0.125,8,1-33%,train
q_000101,0.16666666666666666,6,1-33%,valid
q_000102,0.16666666666666666,6,1-33%,train
q_000103,0.125,8,1-33%,train
q_000104,0.0,3,0%,train
q_000105,0.2,5,1-33%,test
q_000106,0.0,3,0%,train
q_000107,0.16666666666666666,6,1-33%,train
q_000108,0.3333333333333333,3,34-100%,train
q_000109,0.0,5,0%,train
q_000110,0.42857142857142855,7,34-100%,train
q_000111,0.0,2,0%,train
q_000112,0.2,5,1-33%,train
q_000113,0.25,4,1-33%,train
q_000114,0.2,5,1-33%,train
q_000115,0.125,8,1-33%,train
q_000116,0.0,2,0%,train
q_000117,0.16666666666666666,6,1-33%,train
q_000118,0.25,4,1-33%,train
q_000119,0.16666666666666666,6,1-33%,train
q_000120,0.125,8,1-33%,train
q_000121,0.0,3,0%,train
q_000122,0.0,3,0%,train
q_000123,0.25,4,1-33%,train
q_000124,0.0,3,0%,valid
q_000125,0.0,8,0%,train
q_000126,0.2,5,1-33%,train
q_000127,0.375,8,34-100%,train
q_000128,0.0,5,0%,valid
q_000129,0.5,2,34-100%,valid
q_000130,0.0,3,0%,train
q_000131,0.0,3,0%,train
q_000132,0.125,8,1-33%,train
q_000133,0.0,6,0%,train
q_000134,0.0,5,0%,train
q_000135,0.2,5,1-33%,train
q_000136,0.25,4,1-33%,train
q_000137,0.0,7,0%,train
q_000138,0.0,5,0%,train
q_000139,0.5,2,34-100%,test
q_000140,0.0,2,0%,train
q_000141,0.0,7,0%,train
